Essay ID,Essay Set,Word count limit ratio,Long sentences,Voice,Tense,Spell errors,Grammatical Errors,SS Essay,SS Topic Essay,Vocabulary,Word Count,Sentence Count,Score
1,1,0.326,0.625,1,0.617647059,0.038575668,0.005934718,0.987923332,0.918151069,0.226,337,16,8
2,1,0.162,0.55,0.974358974,0.505882353,0.052505967,0.011933174,1.391205146,1.027853338,0.272,419,20,9
3,1,0.442,0.5,1,0.735849057,0.003584229,0.028673835,1.15507243,1.176591532,0.198,279,14,7
4,1,0.048,0.555555556,0.936507937,0.43,0.062977099,0.020992366,1.124228585,1.150166016,0.396,524,27,10
5,1,0.07,0.4,0.983050847,0.482758621,0.03655914,0.010752688,1.231078766,1.073590025,0.272,465,30,8
6,1,0.508,0.466666667,1,0.510204082,0.06097561,0.020325203,0.904921316,0.783964391,0.17,246,15,8
7,1,0.002,0.633333333,0.961538462,0.5,0.014028056,0.004008016,1.189583192,1.135846619,0.318,499,30,10
8,1,0.036,0.230769231,0.959459459,0.567567568,0.014522822,0.01659751,1.241956345,1.063917023,0.286,482,39,10
9,1,0.116,0.285714286,0.979591837,0.511904762,0.022624434,0.011312217,1.063598874,0.933585706,0.31,442,35,9
10,1,0.004,0.5,0.984848485,0.575221239,0.03187251,0.017928287,1.319481357,1.045431646,0.294,502,26,9
11,1,0.352,0.409090909,0.891891892,0.569444444,0.024691358,0.00308642,0.94389556,0.951364349,0.3,324,22,8
12,1,0.216,0.44,1,0.714285714,0.089285714,0.033163265,1.450957332,1.018915318,0.216,392,25,8
13,1,0.592,1,0.96969697,0.558139535,0.117647059,0.009803922,0.724536972,0.677108873,0.158,204,6,7
14,1,0.386,0.28,1,0.518518519,0.114006515,0.035830619,1.152462729,0.937212364,0.178,307,25,6
15,1,0.648,0.384615385,1,0.566666667,0.039772727,0.022727273,1.25064173,0.936971722,0.132,176,13,6
16,1,0.056,0.371428571,0.966666667,0.5,0.045454545,0.013257576,1.116712051,1.189962648,0.396,528,35,12
17,1,0.33,0.611111111,1,0.507246377,0.029850746,0.011940299,1.310596169,0.975212238,0.168,335,18,8
18,1,0.268,0.8,0.976744186,0.5625,0.016393443,0.016393443,1.181453356,0.996784659,0.228,366,15,8
19,1,0.868,0,1,0.666666667,0.53030303,0,0.303046735,0.303278689,0.076,66,7,4
20,1,0.688,0.363636364,1,0.555555556,0.032051282,0.006410256,1.008706365,0.871198904,0.13,156,11,6
21,1,0.266,0.7,0.944444444,0.486842105,0.04359673,0.008174387,1.147855513,1.097645654,0.254,367,20,8
22,1,0.888,1,1,0.5,0.017857143,0,0.375091575,0.32752949,0.046,56,2,3
23,1,0.042,0.666666667,1,0.49,0.02303263,0.009596929,1.173145326,1.158816155,0.32,521,30,10
24,1,0.118,0.41025641,0.985294118,0.518518519,0.025044723,0.025044723,1.071769094,1.148755805,0.364,559,39,11
25,1,0.414,0.6875,1,0.467741935,0.013651877,0.003412969,1.352825867,1.097540587,0.172,293,16,8
26,1,0.28,0.409090909,0.981132075,0.556962025,0.022222222,0.019444444,1.070949629,1.008230776,0.23,360,22,9
27,1,0.76,0.428571429,1,0.565217391,0.066666667,0.016666667,0.898261724,0.545616199,0.078,120,7,4
28,1,0.28,0.285714286,0.975609756,0.519480519,0.033333333,0.022222222,1.063377956,0.891776166,0.256,360,28,9
29,1,0.258,0.391304348,0.97826087,0.662162162,0.037735849,0.002695418,1.496932273,1.106694668,0.212,371,23,9
30,1,0.486,0.533333333,0.973684211,0.585714286,0,0.003891051,1.33632105,1.007362803,0.158,257,15,8
31,1,0.056,0.470588235,0.967741935,0.614583333,0.021186441,0.027542373,0.899599794,0.853273918,0.354,472,34,10
32,1,0.016,0.416666667,1,0.619047619,0.010162602,0.012195122,1.199280963,1.100171059,0.316,492,36,10
33,1,0.666,0.333333333,0.95,0.586206897,0.035928144,0.011976048,0.934165352,0.840827254,0.13,167,12,6
34,1,0.276,0.346153846,0.977777778,0.493150685,0.033149171,0.024861878,1.117750316,0.922271231,0.242,362,26,8
35,1,0.174,0.212121212,0.983606557,0.545454545,0.007263923,0.004842615,1.383654779,1.176084026,0.226,413,33,9
36,1,0.084,0.708333333,0.983870968,0.712871287,0.011070111,0.014760148,1.261007062,1.051456226,0.352,542,24,10
37,1,0.024,0.516129032,0.96969697,0.537037037,0.047131148,0.016393443,1.253766654,1.131755662,0.352,488,31,12
38,1,0.296,0.823529412,0.955555556,0.5,0.03125,0.03125,1.117492191,0.913963498,0.226,352,17,8
39,1,0.11,0.409090909,1,0.576923077,0.031460674,0.020224719,0.869227485,0.96825833,0.302,445,22,10
40,1,0.62,0.266666667,1,0.58974359,0.042105263,0.026315789,0.860212063,0.95802082,0.144,190,15,7
41,1,0.918,0.666666667,1,0.625,0,0.024390244,0.762448727,0.474037487,0.032,41,3,2
42,1,0.436,0.714285714,1,0.622641509,0.046099291,0.028368794,1.325638679,1.010802777,0.17,282,14,8
43,1,0.72,0.75,1,0.620689655,0.014285714,0.014285714,0.951601411,0.770104452,0.104,140,8,6
44,1,0.374,0.25,1,0.508474576,0.022364217,0.025559105,1.843034698,1.119141592,0.148,313,28,8
45,1,0.356,0.4,1,0.568627451,0.027950311,0.00931677,1.088990708,0.885657698,0.194,322,20,8
46,1,0.404,0.636363636,0.895833333,0.621621622,0.013422819,0.016778523,1.451054872,0.902059892,0.132,298,11,8
47,1,0.372,0.611111111,0.964285714,0.519230769,0.063694268,0.022292994,0.963691653,0.968551757,0.22,314,18,8
48,1,0.088,0.515151515,1,0.525252525,0.007352941,0.012867647,1.193738033,1.071325462,0.302,544,33,11
49,1,0.37,0.222222222,0.975609756,0.545454545,0.00952381,0.019047619,1.119934374,1.144172416,0.174,315,27,6
50,1,0.834,0.5,1,0.583333333,0.072289157,0.048192771,0.650889183,0.628199884,0.076,83,4,5
51,1,0.142,0.923076923,0.974025974,0.515625,0.028021016,0.026269702,1.358953915,0.857657043,0.286,571,13,9
52,1,0.518,0.533333333,1,0.591836735,0.053941909,0.020746888,0.889682914,0.886021688,0.188,241,15,7
